施設区分,施設正式名称,郵便番号,所在地,電話番号,開設者名,管理者氏名,精神病床数,結核病床数,感染症病床数,一般病床数,療養病床数,内科,呼吸器内科,循環器内科,消化器内科,心臓内科,血液内科,気管食道内科,胃腸内科,腫瘍内科,糖尿病内科,代謝内科,内分泌内科,脂質代謝内科,腎臓内科,神経内科,心療内科,感染症内科,漢方内科,老年内科,女性内科,新生児内科,性感染症内科,内視鏡内科,人工透析内科,疼痛緩和内科,ペインクリニック内科,アレルギー疾患内科,内科（ペインクリニック）,内科（循環器）,内科（薬物療法）,内科（感染症）,内科（骨髄移植）,外科,呼吸器外科,心臓血管外科,心臓外科,消化器外科,乳腺外科,小児外科,気管食道外科,肛門外科,整形外科,脳神経外科,形成外科,美容外科,腫瘍外科,移植外科,頭頚部外科,胸部外科,腹部外科,肝臓外科,膵臓外科,胆のう外科,食道外科,胃腸外科,大腸外科,内視鏡外科,ペインクリニック外科,外科（内視鏡）,外科（がん）,精神科,アレルギー科,リウマチ科,小児科,皮膚科,泌尿器科,産婦人科,産科,婦人科,眼科,耳鼻咽喉科,リハビリテーション科,放射線科,放射線診断科,放射線治療科,病理診断科,臨床検査科,救急科,児童精神科,老年精神科,気管食道・耳鼻咽喉科,腫瘍放射線科,男性泌尿器科,神経泌尿器科,小児泌尿器科,小児科（新生児）,泌尿器科（不妊治療）,泌尿器科（人工透析）,泌尿器科（生殖医療）,美容皮膚科,歯科,小児歯科,矯正歯科,歯科口腔外科,神経科,呼吸器科,消化器科,胃腸科,循環器科,皮膚泌尿器科,性病科,こう門科,気管食道科,麻酔科,診療科目その他,開設年月日,"千葉県/成田市/所","140.45662","35.85686","3","5"
病院,ひかりテラス病院,861-4211,熊本市南区城南町今吉野１０２０ ,0964-28-6000,医療法人社団　井上会,木村　竜也,0,0,0,8,96,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 56年01月01日,"熊本県/熊本市/南区/城南町今吉野/１０２０番地","130.73521","32.71670","5","7"
病院,成尾整形外科病院,862-0958,熊本市中央区岡田町１２−２４ ,096-371-1188,医療法人社団   誠療会,藤本　徹,0,0,0,103,0,○,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,昭和 55年11月29日,"熊本県/熊本市/中央区/岡田町/１２番","130.72099","32.79196","5","7"
病院,出田眼科病院,860-0027,熊本市中央区西唐人町３９番地 ,096-325-5222,医療法人　出田会,出田　真二,0,0,0,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,昭和 55年11月20日,"熊本県/熊本市/中央区/西唐人町/３９番地","130.69676","32.79711","5","7"
病院,ニキ　ハーティー　ホスピタル,862-0920,熊本市東区月出４丁目６−１００ ,096-384-3111,医療法人　仁木会,仁木　啓介,200,0,0,0,0,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,昭和 55年05月31日,"熊本県/熊本市/東区/月出/四丁目/６番","130.76888","32.80374","5","7"
病院,医療法人　聖粒会　慈恵病院,860-0073,熊本市西区島崎６丁目１番２７号 ,096-355-6131,医療法人　聖粒会,蓮田　健,0,0,0,98,0,○,,,○,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,糖尿病代謝内科 内視鏡婦人科,昭和 53年04月01日,"熊本県/熊本市/西区/島崎/六丁目/１番","130.68668","32.81269","5","7"
病院,くまもと成城病院,861-8072,熊本市北区室園町１０−１７ ,096-344-3311,医療法人　山部会,増田　武信,0,0,0,84,49,○,○,○,○,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,昭和 53年03月31日,"熊本県/熊本市/北区/室園町/１０番","130.72322","32.82346","5","7"
病院,武蔵ヶ丘病院,861-8003,熊本市北区楠７丁目１５番１号 ,096-339-1161,医療法人　田中会,水流添　周,0,0,0,85,60,○,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,昭和 52年10月14日,"熊本県/熊本市/北区/楠/七丁目/１５番","130.76218","32.84748","5","7"
病院,桜十字熊本東病院,862-0922,熊本市東区三郎１丁目１２−２５ ,096-383-5555,医療法人　桜十字,三浦　正毅,0,0,0,57,0,○,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,緩和ケア内科,昭和 52年04月13日,"熊本県/熊本市/東区/三郎/一丁目/１２番","130.75813","32.79976","5","7"
病院,水前寺とうや病院,862-0950,熊本市中央区水前寺５丁目２−２２ ,096-384-2288,医療法人　清和会,今村　重洋,0,0,0,94,48,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,脳神経内科,昭和 51年06月30日,"熊本県/熊本市/中央区/水前寺/五丁目/２番","130.73610","32.79504","5","7"
病院,熊本県立こころの医療センター,861-4154,熊本市南区富合町平原３９１ ,096-357-2151,熊本県,西　良知,190,10,0,0,0,○,○,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 50年11月01日,"熊本県/熊本市/南区/富合町平原/３９１番地","130.68466","32.69854","5","7"
病院,あきた病院,861-4121,熊本市南区会富町１１２０ ,096-227-1611,医療法人むすびの森,鶴崎　成幸,0,0,0,42,85,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,○,,,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,脳神経内科,昭和 48年07月16日,"熊本県/熊本市/南区/会富町/１１２０番地","130.65346","32.75256","5","7"
病院,医療法人　東陽会　東病院,862-0963,熊本市南区出仲間５丁目２−２ ,096-378-2222,医療法人　東陽会,眞方　紳一郎,0,0,0,42,21,○,,○,,,,,,,,,,,,○,,,○,,,,,,,,,,,,,,,○,,,,○,○,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,消化器内科（内視鏡） 内分泌外科,昭和 48年02月28日,"熊本県/熊本市/南区/出仲間/五丁目/２番","130.71638","32.76975","5","7"
病院,菊南病院,861-5517,熊本市北区鶴羽田３丁目１−５３ ,096-344-1711,医療法人　室原会,室原　良治,0,0,0,56,94,○,○,○,○,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,整形リハビリテーション科,昭和 47年07月31日,"熊本県/熊本市/北区/鶴羽田/三丁目/１番","130.72653","32.85874","5","7"
病院,桜十字病院,861-4173,熊本市南区御幸木部１丁目１−１ ,096-378-1111,医療法人　桜十字,倉津　純一,0,0,0,293,337,○,○,○,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,○,,○,○,○,,,,,,,,,,,,,,,,,,○,,○,○,○,○,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,脳神経内科,昭和 47年04月27日,"熊本県/熊本市/南区/御幸木部/一丁目/１番","130.71402","32.75069","5","7"
病院,ピネル記念病院,862-0916,熊本市東区佐土原１丁目８−３３ ,096-365-1133,医療法人社団　ピネル会,竹内　良輔,120,0,0,0,0,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 46年11月30日,"熊本県/熊本市/東区/佐土原/一丁目/８番","130.77037","32.79032","5","7"
病院,医療法人　健生会　明生病院,860-0083,熊本市北区大窪２丁目６番２０号 ,096-324-5211,医療法人　健生会,小田　浩一,234,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,昭和 45年06月01日,"熊本県/熊本市/北区/大窪/二丁目/６番","130.70999","32.85064","5","7"
病院,くまもと南部広域病院,861-4214,熊本市南区城南町舞原無番地 ,0964-28-2556,医療法人　城南ヘルスケアグループ,町田　二郎,78,0,0,120,0,○,○,○,○,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,○,,,,○,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,脳神経内科,昭和 44年10月15日,"熊本県/熊本市/南区/城南町舞原","130.74699","32.70979","5","5"
病院,南熊本病院,860-0812,熊本市中央区南熊本３丁目７−２７ ,096-366-1268,医療法人　熊南会,坂田　浩章,0,0,0,51,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,昭和 44年01月31日,"熊本県/熊本市/中央区/南熊本/三丁目/７番","130.71205","32.78782","5","7"
病院,小林病院,861-4203,熊本市南区城南町隈庄５７４ ,0964-28-2025,医療法人　小林会,坂口　智則,0,0,0,0,34,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,昭和 42年05月01日,"熊本県/熊本市/南区/城南町隈庄/５７４番地","130.72893","32.70405","5","7"
病院,寺尾病院,861-5504,熊本市北区小糸山町７５９ ,096-272-0601,医療法人　寺尾会,髙松　徹,0,0,0,88,0,○,○,,○,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 41年02月01日,"熊本県/熊本市/北区/小糸山町/７５９番地","130.69377","32.88975","5","7"
病院,弓削病院,861-8002,熊本市北区弓削5丁目12番25号 ,096-338-3838,医療法人　佐藤会,相澤　明憲,160,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 40年05月01日,"熊本県/熊本市/北区/弓削/五丁目/１２番","130.78632","32.85456","5","7"
病院,向陽台病院,861-0142,熊本市北区植木町鐙田１０２５ ,096-272-7211,医療法人　横田会,比江島　誠人,198,0,0,0,0,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 40年03月01日,"熊本県/熊本市/北区/植木町鐙田/１０２５番地","130.69142","32.88309","5","7"
病院,医療法人康生会　小柳病院,862-0915,熊本市東区山ノ神２丁目２−８ ,096-369-3811,医療法人　康生会,鈴木　義史,198,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 39年09月14日,"熊本県/熊本市/東区/山ノ神/二丁目/２番","130.77632","32.79776","5","7"
病院,九州記念病院,862-0956,熊本市中央区水前寺公園３−３８ ,096-383-2121,医療法人社団　岡山会,矢野　眞治郎,0,0,0,101,133,,○,○,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,○,,,,,,,,,,,,,,,,,,,○,,○,○,,,,,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,脳神経内科,昭和 39年04月08日,"熊本県/熊本市/中央区/水前寺公園/３番","130.73180","32.79071","5","7"
病院,医療法人　池田病院,860-0086,熊本市北区打越町３６番４８号 ,096-345-1616,医療法人　池田会,池田　尊文,199,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,昭和 38年04月23日,"熊本県/熊本市/北区/打越町/３６番","130.71490","32.82830","5","7"
病院,医療法人　金澤会　青磁野リハビリテーション病院,860-8515,熊本市西区島崎２丁目２２番１５号 ,096-354-1731,医療法人　金澤会,金澤　親良,0,0,0,77,108,○,○,○,○,,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 37年09月26日,"熊本県/熊本市/西区/島崎/二丁目/２２番","130.69153","32.80816","5","7"
病院,日隈病院,860-0832,熊本市中央区萩原町９−３０ ,096-378-3836,医療法人　日隈会,山本　藍,180,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 36年02月01日,"熊本県/熊本市/中央区/萩原町/９番","130.70808","32.78292","5","7"
病院,桜が丘病院,860-0082,熊本市西区池田３丁目４４番１号 ,096-352-6264,医療法人　富尾会,大礒　宏昭,221,0,0,0,0,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,昭和 35年09月11日,"熊本県/熊本市/西区/池田/三丁目/４４番","130.70111","32.83121","5","7"
病院,自衛隊熊本病院,862-0902,熊本市東区東本町１５−１ ,096-368-5111,防衛省,内藤　智子,0,0,0,100,0,○,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,○,○,,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,○,,昭和 32年08月01日,"熊本県/熊本市/東区/東本町/１５番","130.76540","32.77986","5","7"
病院,杉村病院,860-0811,熊本市中央区本荘３丁目７−１８ ,096-372-3322,医療法人　杉村会,乾　誠治,0,0,0,177,0,○,○,○,○,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,○,,,,○,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,脳神経内科  糖尿病代謝・内分泌内科,昭和 32年01月07日,"熊本県/熊本市/中央区/本荘/三丁目/７番","130.70879","32.79481","5","7"
病院,城山病院,860-0068,熊本市西区上代９丁目２−２０ ,096-329-7878,医療法人　敬愛会,藤岡　俊宏,198,0,0,0,0,○,,○,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 30年01月13日,"熊本県/熊本市/西区/上代/九丁目/２番","130.66075","32.78332","5","7"
病院,江南病院,862-0970,熊本市中央区渡鹿５丁目１−３７ ,096-366-7125,一般財団法人　杏仁会,瀬戸口　敬介,0,15,0,103,80,○,○,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,○,,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,アレルギー科（呼吸器）   脳神経内科 糖尿病・内分泌内科,昭和 29年08月31日,"熊本県/熊本市/中央区/渡鹿/五丁目/１番","130.73006","32.81027","5","7"
病院,龍田病院,860-0862,熊本市中央区黒髪６丁目１２番５１号 ,096-343-1463,医療法人　尚和会,黒木　明彦,250,0,0,0,0,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 27年08月08日,"熊本県/熊本市/中央区/黒髪/六丁目/１２番","130.73799","32.81364","5","7"
病院,表参道 吉田病院,860-0855,熊本市中央区北千反畑町２−５ ,096-343-6161,医療法人  起生会,吉田元樹,0,0,0,42,42,○,○,○,○,○,,,○,○,,,○,○,○,○,,○,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,糖尿病・代謝内科,昭和 26年08月01日,"熊本県/熊本市/中央区/北千反畑町/２番","130.71606","32.80896","5","7"
病院,くわみず病院,862-0954,熊本市中央区神水１丁目１４−４１ ,096-381-8743,社会医療法人　芳和会,池上　あずさ,0,0,0,100,0,○,○,○,○,,,,,,,,,,,,,,○,,,,,,○,,,,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,,○,,,○,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,昭和 26年07月17日,"熊本県/熊本市/中央区/神水/一丁目/１４番","130.74277","32.78524","5","7"
病院,聖ヶ塔病院,861-5347,熊本市西区河内町船津８９７ ,096-276-1151,医療法人　財団　聖十字会,定永　史子,0,0,0,54,120,○,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,○,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,○,○,,○,,,,,,,昭和 26年07月16日,"熊本県/熊本市/西区/河内町船津","130.59561","32.83260","5","5"
病院,熊本内科病院,860-0808,熊本市中央区手取本町７−１ ,096-356-5500,一般財団法人　杏仁会,麻生　範雄,0,0,0,50,0,○,○,○,○,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,○,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 25年12月27日,"熊本県/熊本市/中央区/手取本町/７番","130.71187","32.80217","5","7"
病院,熊本大学病院,860-0811,熊本市中央区本荘１丁目１−１ ,096-344-2111,国立大学法人　熊本大学,馬場　秀夫,50,0,0,795,0,○,○,○,○,,○,,,,,○,,,○,,,,,,,,,,,,,,,,,,,,○,○,,○,○,○,,,○,○,○,,,○,,,,,,,,,,,,,,○,,○,○,○,○,○,,,○,○,○,,○,○,○,,○,,,,,,,,,,,,,,,,○,,,,,,,,,,○,脳神経内科,昭和 24年07月01日,"熊本県/熊本市/中央区/本荘/一丁目/１番","130.71146","32.79614","5","7"
病院,独立行政法人国立病院機構　熊本医療センター,860-0008,熊本市中央区二の丸１番５号 ,096-353-6501,独立行政法人国立病院機構,髙橋　毅,50,0,0,500,0,○,○,○,○,,○,,,○,,,,,○,○,,○,,,,,,,,,,,,,,,,○,○,○,,,,○,,,○,○,○,,,,○,,,,,,,,,,,,,○,,○,○,○,○,○,,,○,○,○,○,,○,○,,○,,,,,,,,,,,,,○,,,○,,,,,,,,,,○,糖尿病・内分泌内科,昭和 20年12月01日,"熊本県/熊本市/中央区/二の丸/１番","130.70186","32.80378","5","7"
病院,熊本赤十字病院,861-8039,熊本市東区長嶺南２丁目１−１ ,096-384-2111,日本赤十字社,平田　稔彦,0,0,0,490,0,○,○,○,○,,,,,,○,,,,○,,,,,,,,,,,,,,,,,,,○,○,○,,,,○,,,○,○,○,,,,,,,,,,,,,,,,,,,○,○,○,○,○,,,○,○,○,○,,○,○,,○,,,,,,,,,,,,,○,,,○,,,,,,,,,,○,血液・腫瘍内科 乳腺内分泌外科 精神腫瘍科 脳神経内科,昭和 19年04月01日,"熊本県/熊本市/東区/長嶺南/二丁目/１番","130.76341","32.80817","5","7"
病院,くまもと青明病院,862-0970,熊本市中央区渡鹿５丁目１−３７ ,096-366-2291,一般財団法人　杏仁会,上田　啓司,176,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,○,,,,,,,,,,,,,,,,,,,,,,,,,,昭和 06年09月09日,"熊本県/熊本市/中央区/渡鹿/五丁目/１番","130.73006","32.81027","5","7"
